Value,Status,Strand,Chromosome,Gene,CC0,CC1,CC2,CC3,CC4,CC5,CC6,CC7,CC8,CC9,CC10,CC11,CC12,CC13,CC14,BP0,BP1,BP2,BP3,BP4,BP5,BP6,BP7,BP8,BP9,BP10,BP11,BP12,BP13,BP14,MF0,MF1,MF2,MF3,MF4,MF5,MF6,MF7,MF8,MF9,MF10,MF11,MF12,MF13,MF14
1901,Verified,W,chr 14,MSB3,cell part,intracellular part,cytoplasm,cytoplasmic region,cell cortex,,,,,,,,,,,localization,establishment of localization,transport,vesicle-mediated transport,endocytosis,,,,,,,,,,,molecular function regulator,enzyme regulator activity,,,,,,,,,,,,,
1211,Verified,W,chr 14,PUS4,organelle,membrane-bounded organelle,intracellular membrane-bounded organelle,mitochondrion,,,,,,,,,,,,metabolic process,organic substance metabolic process,macromolecule metabolic process,cellular macromolecule metabolic process,RNA metabolic process,ncRNA metabolic process,tRNA metabolic process,tRNA processing,,,,,,,,catalytic activity,isomerase activity,,,,,,,,,,,,,
1022,Verified,W,chr 14,RFC3,organelle,non-membrane-bounded organelle,intracellular non-membrane-bounded organelle,chromosome,,,,,,,,,,,,metabolic process,organic substance metabolic process,macromolecule metabolic process,cellular macromolecule metabolic process,DNA metabolic process,DNA repair,,,,,,,,,,catalytic activity,hydrolase activity,"hydrolase activity, acting on acid anhydrides","hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides",pyrophosphatase activity,nucleoside-triphosphatase activity,ATPase activity,,,,,,,,
839,Verified,W,chr 14,PCL1,organelle,membrane-bounded organelle,intracellular membrane-bounded organelle,nucleus,,,,,,,,,,,,metabolic process,organic substance metabolic process,macromolecule metabolic process,protein metabolic process,protein modification process,cellular protein modification process,protein phosphorylation,,,,,,,,,molecular function regulator,enzyme regulator activity,,,,,,,,,,,,,
1121,Verified,W,chr 14,CAF40,,,,,,,,,,,,,,,,metabolic process,organic substance metabolic process,macromolecule metabolic process,macromolecule biosynthetic process,cellular macromolecule biosynthetic process,"transcription, DNA-templated",transcription from RNA polymerase II promoter,,,,,,,,,,,,,,,,,,,,,,,
2807,Verified,W,chr 14,SEC21,organelle,membrane-bounded organelle,intracellular membrane-bounded organelle,Golgi apparatus,,,,,,,,,,,,localization,establishment of localization,transport,vesicle-mediated transport,Golgi vesicle transport,,,,,,,,,,,,,,,,,,,,,,,,,
857,Verified,W,chr 14,CUS2,organelle,membrane-bounded organelle,intracellular membrane-bounded organelle,nucleus,,,,,,,,,,,,metabolic process,organic substance metabolic process,macromolecule metabolic process,cellular macromolecule metabolic process,RNA metabolic process,RNA processing,RNA splicing,,,,,,,,,binding,organic cyclic compound binding,nucleic acid binding,RNA binding,,,,,,,,,,,
968,Verified,C,chr 14,MRPL10,organelle,membrane-bounded organelle,intracellular membrane-bounded organelle,mitochondrion,,,,,,,,,,,,metabolic process,organic substance metabolic process,macromolecule metabolic process,macromolecule biosynthetic process,cellular macromolecule biosynthetic process,translation,mitochondrial translation,,,,,,,,,structural molecule activity,structural constituent of ribosome,,,,,,,,,,,,,
1511,Verified,C,chr 14,WSC2,organelle,membrane-bounded organelle,intracellular membrane-bounded organelle,vacuole,,,,,,,,,,,,response to stimulus,response to stress,response to heat,,,,,,,,,,,,,signal transducer activity,,,,,,,,,,,,,,
1316,Verified,C,chr 14,ERG24,organelle,membrane-bounded organelle,intracellular membrane-bounded organelle,endoplasmic reticulum,,,,,,,,,,,,metabolic process,primary metabolic process,lipid metabolic process,,,,,,,,,,,,,catalytic activity,oxidoreductase activity,,,,,,,,,,,,,
1985,Verified,W,chr 14,PRM1,organelle,membrane-bounded organelle,intracellular membrane-bounded organelle,vacuole,,,,,,,,,,,,cellular process,cellular component organization,membrane organization,membrane fusion,,,,,,,,,,,,,,,,,,,,,,,,,,
1460,Verified,W,chr 14,MET2,cell part,intracellular part,cytoplasm,,,,,,,,,,,,,metabolic process,cellular metabolic process,organic acid metabolic process,oxoacid metabolic process,carboxylic acid metabolic process,cellular amino acid metabolic process,,,,,,,,,,catalytic activity,transferase activity,,,,,,,,,,,,,
1052,Verified,C,chr 14,GOR1,organelle,membrane-bounded organelle,intracellular membrane-bounded organelle,mitochondrion,,,,,,,,,,,,metabolic process,cellular metabolic process,organic acid metabolic process,oxoacid metabolic process,carboxylic acid metabolic process,monocarboxylic acid metabolic process,,,,,,,,,,catalytic activity,oxidoreductase activity,,,,,,,,,,,,,
2279,Verified,C,chr 14,SEC2,cell part,intracellular part,cytoplasmic part,cytoplasmic vesicle,,,,,,,,,,,,localization,establishment of localization,transport,vesicle-mediated transport,exocytosis,,,,,,,,,,,molecular function regulator,guanyl-nucleotide exchange factor activity,,,,,,,,,,,,,
5861,Verified,C,chr 14,BNI1,cell part,intracellular part,cytoplasm,cytoplasmic region,cell cortex,,,,,,,,,,,biological regulation,regulation of biological process,regulation of cellular process,regulation of cellular component organization,regulation of organelle organization,,,,,,,,,,,,,,,,,,,,,,,,,
1721,Verified,C,chr 14,ALP1,organelle,membrane-bounded organelle,intracellular membrane-bounded organelle,endoplasmic reticulum,,,,,,,,,,,,localization,establishment of localization,transport,ion transport,anion transport,organic anion transport,carboxylic acid transport,amino acid transport,,,,,,,,transporter activity,transmembrane transporter activity,,,,,,,,,,,,,
1835,Verified,W,chr 14,LYP1,organelle,membrane-bounded organelle,intracellular membrane-bounded organelle,mitochondrion,,,,,,,,,,,,localization,establishment of localization,transport,ion transport,anion transport,organic anion transport,carboxylic acid transport,amino acid transport,,,,,,,,transporter activity,transmembrane transporter activity,,,,,,,,,,,,,
3200,Verified,W,chr 14,PIK1,organelle,membrane-bounded organelle,intracellular membrane-bounded organelle,Golgi apparatus,,,,,,,,,,,,metabolic process,primary metabolic process,lipid metabolic process,,,,,,,,,,,,,catalytic activity,transferase activity,"transferase activity, transferring phosphorus-containing groups",kinase activity,,,,,,,,,,,
1052,Verified,C,chr 14,PDR17,cell part,intracellular part,cytoplasmic part,cytoplasmic vesicle,,,,,,,,,,,,localization,establishment of localization,transport,vesicle-mediated transport,Golgi vesicle transport,,,,,,,,,,,,,,,,,,,,,,,,,
6668,Verified,W,chr 14,POL2,organelle,non-membrane-bounded organelle,intracellular non-membrane-bounded organelle,chromosome,,,,,,,,,,,,metabolic process,organic substance metabolic process,macromolecule metabolic process,cellular macromolecule metabolic process,DNA metabolic process,DNA recombination,,,,,,,,,,binding,organic cyclic compound binding,nucleic acid binding,DNA binding,,,,,,,,,,,
1439,Verified,W,chr 14,ORC5,organelle,non-membrane-bounded organelle,intracellular non-membrane-bounded organelle,chromosome,,,,,,,,,,,,metabolic process,organic substance metabolic process,macromolecule metabolic process,cellular macromolecule metabolic process,DNA metabolic process,DNA replication,,,,,,,,,,binding,organic cyclic compound binding,nucleic acid binding,DNA binding,,,,,,,,,,,
596,Verified,C,chr 14,LTO1,organelle,membrane-bounded organelle,intracellular membrane-bounded organelle,nucleus,,,,,,,,,,,,cellular component organization or biogenesis,cellular component biogenesis,ribonucleoprotein complex biogenesis,ribosomal large subunit biogenesis,,,,,,,,,,,,,,,,,,,,,,,,,,
221,Verified,C,chr 14,ATX1,cell part,intracellular part,cytoplasm,,,,,,,,,,,,,biological regulation,regulation of biological quality,homeostatic process,chemical homeostasis,ion homeostasis,cellular ion homeostasis,,,,,,,,,,binding,ion binding,,,,,,,,,,,,,
2264,Verified,C,chr 14,DSL1,organelle,membrane-bounded organelle,intracellular membrane-bounded organelle,microbody,peroxisome,,,,,,,,,,,localization,establishment of localization,transport,vesicle-mediated transport,Golgi vesicle transport,,,,,,,,,,,,,,,,,,,,,,,,,
3689,Verified,C,chr 14,SIP3,cell part,intracellular part,cytoplasm,cytoplasmic region,cell cortex,,,,,,,,,,,metabolic process,organic substance metabolic process,macromolecule metabolic process,macromolecule biosynthetic process,cellular macromolecule biosynthetic process,"transcription, DNA-templated",transcription from RNA polymerase II promoter,,,,,,,,,"transcription factor activity, protein binding",,,,,,,,,,,,,,
2474,Verified,W,chr 14,FOL1,cell part,envelope,organelle envelope,mitochondrial envelope,,,,,,,,,,,,metabolic process,cellular metabolic process,cofactor metabolic process,,,,,,,,,,,,,catalytic activity,lyase activity,,,,,,,,,,,,,
461,Verified,C,chr 14,GIS2,cell part,intracellular part,intracellular ribonucleoprotein complex,ribosome,,,,,,,,,,,,biological regulation,regulation of biological process,regulation of metabolic process,regulation of macromolecule metabolic process,regulation of gene expression,posttranscriptional regulation of gene expression,regulation of translation,,,,,,,,,binding,organic cyclic compound binding,nucleic acid binding,DNA binding,,,,,,,,,,,
845,Verified,C,chr 14,MRPL17,organelle,membrane-bounded organelle,intracellular membrane-bounded organelle,mitochondrion,,,,,,,,,,,,metabolic process,organic substance metabolic process,macromolecule metabolic process,macromolecule biosynthetic process,cellular macromolecule biosynthetic process,translation,mitochondrial translation,,,,,,,,,structural molecule activity,structural constituent of ribosome,,,,,,,,,,,,,
1727,Verified,C,chr 14,NRD1,organelle,membrane-bounded organelle,intracellular membrane-bounded organelle,nucleus,,,,,,,,,,,,metabolic process,organic substance metabolic process,macromolecule metabolic process,cellular macromolecule metabolic process,RNA metabolic process,ncRNA metabolic process,snoRNA metabolic process,snoRNA processing,,,,,,,,binding,organic cyclic compound binding,nucleic acid binding,RNA binding,,,,,,,,,,,
3938,Verified,W,chr 14,RAD50,organelle,membrane-bounded organelle,intracellular membrane-bounded organelle,mitochondrion,,,,,,,,,,,,metabolic process,organic substance metabolic process,macromolecule metabolic process,cellular macromolecule metabolic process,DNA metabolic process,DNA recombination,,,,,,,,,,catalytic activity,hydrolase activity,"hydrolase activity, acting on acid anhydrides","hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides",pyrophosphatase activity,nucleoside-triphosphatase activity,ATPase activity,,,,,,,,
1247,Verified,C,chr 14,RPA49,organelle,non-membrane-bounded organelle,intracellular non-membrane-bounded organelle,nucleolus,,,,,,,,,,,,metabolic process,organic substance metabolic process,macromolecule metabolic process,macromolecule biosynthetic process,cellular macromolecule biosynthetic process,"transcription, DNA-templated",transcription from RNA polymerase I promoter,,,,,,,,,catalytic activity,transferase activity,"transferase activity, transferring phosphorus-containing groups",nucleotidyltransferase activity,,,,,,,,,,,
539,Verified,C,chr 14,CWC25,organelle,membrane-bounded organelle,intracellular membrane-bounded organelle,nucleus,,,,,,,,,,,,metabolic process,organic substance metabolic process,macromolecule metabolic process,cellular macromolecule metabolic process,RNA metabolic process,RNA processing,RNA splicing,,,,,,,,,,,,,,,,,,,,,,,
326,Verified,C,chr 14,SUI1,cell part,intracellular part,cytoplasm,,,,,,,,,,,,,metabolic process,cellular metabolic process,translational initiation,,,,,,,,,,,,,binding,organic cyclic compound binding,nucleic acid binding,RNA binding,,,,,,,,,,,
2906,Verified,W,chr 14,SLA2,cell part,intracellular part,cytoplasm,cytoplasmic region,cell cortex,,,,,,,,,,,localization,establishment of localization,transport,vesicle-mediated transport,endocytosis,,,,,,,,,,,binding,protein binding,"protein binding, bridging",,,,,,,,,,,,
4778,Verified,W,chr 14,ATG2,cell part,intracellular part,cytoplasm,,,,,,,,,,,,,localization,establishment of localization,transport,nitrogen compound transport,amide transport,peptide transport,protein transport,intracellular protein transport,protein targeting,,,,,,,binding,ion binding,,,,,,,,,,,,,
1517,Verified,C,chr 14,ZWF1,cell part,intracellular part,cytoplasm,,,,,,,,,,,,,metabolic process,cellular metabolic process,cellular aromatic compound metabolic process,nucleobase-containing compound metabolic process,nucleobase-containing small molecule metabolic process,,,,,,,,,,,catalytic activity,oxidoreductase activity,,,,,,,,,,,,,
1364,Verified,W,chr 14,LAP3,organelle,membrane-bounded organelle,intracellular membrane-bounded organelle,mitochondrion,,,,,,,,,,,,metabolic process,organic substance metabolic process,macromolecule metabolic process,macromolecule biosynthetic process,cellular macromolecule biosynthetic process,"transcription, DNA-templated",transcription from RNA polymerase II promoter,,,,,,,,,binding,organic cyclic compound binding,nucleic acid binding,DNA binding,,,,,,,,,,,
2444,Verified,W,chr 14,KEX2,organelle,membrane-bounded organelle,intracellular membrane-bounded organelle,Golgi apparatus,,,,,,,,,,,,metabolic process,organic substance metabolic process,macromolecule metabolic process,protein metabolic process,protein maturation,,,,,,,,,,,catalytic activity,hydrolase activity,,,,,,,,,,,,,
2924,Verified,W,chr 14,SIN4,organelle,membrane-bounded organelle,intracellular membrane-bounded organelle,nucleus,,,,,,,,,,,,metabolic process,organic substance metabolic process,macromolecule metabolic process,macromolecule biosynthetic process,cellular macromolecule biosynthetic process,"transcription, DNA-templated",transcription from RNA polymerase II promoter,,,,,,,,,binding,protein binding,transcription factor binding,,,,,,,,,,,,
878,Verified,W,chr 14,CSL4,organelle,membrane-bounded organelle,intracellular membrane-bounded organelle,nucleus,,,,,,,,,,,,metabolic process,organic substance metabolic process,macromolecule metabolic process,cellular macromolecule metabolic process,RNA metabolic process,ncRNA metabolic process,rRNA metabolic process,rRNA processing,,,,,,,,,,,,,,,,,,,,,,
1055,Verified,C,chr 14,PDR16,cell part,intracellular part,cytoplasm,,,,,,,,,,,,,localization,establishment of localization,transport,organic substance transport,lipid transport,,,,,,,,,,,,,,,,,,,,,,,,,
1139,Verified,C,chr 14,ELA1,organelle,membrane-bounded organelle,intracellular membrane-bounded organelle,nucleus,,,,,,,,,,,,metabolic process,organic substance metabolic process,macromolecule metabolic process,protein metabolic process,protein modification process,cellular protein modification process,protein modification by small protein conjugation or removal,,,,,,,,,catalytic activity,transferase activity,,,,,,,,,,,,,
